prev_agent_ts	prev_user_ts	prev_user_cs	agent_ts	agent_cs	user_ts	user_cs																
			greeting	NONE	greeting	NONE, HE																
			greeting	SD	greeting	NONE, QESD																
			greeting	QESD	greeting	SD																
			greeting	PR	greeting	NONE, PR																
	greeting	PR	ack	NONE																		
	greeting	QESD	ack	SD		NONE																
	greeting		introduce	NONE	affirm	NONE, SD	negate	NONE, SD														
	greeting		introduce	SD	affirm	NONE, SD	negate	NONE, SD														
	greeting		introduce	QESD	affirm	NONE, SD	negate	NONE, SD														
introduce	affirm		ack	NONE																		
introduce	affirm		ack	SD																		
introduce	affirm		ack	PR																		
introduce	negate		ack	NONE																		
introduce	affirm		request(last_movie)	QESD	inform(last_movie)	SD	negate	NONE														
introduce	affirm		request(last_movie)	SD	inform(last_movie)	SD	negate	NONE														
introduce	affirm		request(last_movie)	PR	inform(last_movie)	SD	negate	NONE														
introduce	negate		request(last_movie)	HE	inform(last_movie)	SD	negate	NONE														
introduce	negate		request(last_movie)	SD	inform(last_movie)	SD	negate	NONE														
	inform(last_movie)		ack	NONE																		
	inform(last_movie)		ack	SD																		
	inform(last_movie)		ack	PR																		
request(last_movie)	negate		bye	NONE	bye	NONE																
	inform(last_movie)		request(reason_like)	QESD	inform(reason_like)	SD																
	inform(last_movie)		request(reason_like)	SD	inform(reason_like)	SD																
	inform(last_movie)		request(reason_like)	PR	inform(reason_like)	SD																
	inform(reason_like)		ack	NONE																		
	inform(reason_like)		ack	SD																		
	inform(reason_like)		ack	PR																		
	inform(reason_like)		request(genre)	QESD	inform(genre) 	SD, HE	negate	SD, HE														
	inform(reason_like)		request(genre)	SD	inform(genre) 	SD, HE	negate	SD, HE														
	inform(reason_like)		request(genre)	PR	inform(genre) 	SD, HE	negate	SD, HE														
	inform(genre)	SD	ack	NONE																		
	inform(genre)	SD	ack	SD																		
	inform(genre)	SD	ack	PR																		
request(genre)	negate	SD	ack	NONE																		
	inform(genre), negate	HE	ack	SD																		
	inform(genre)		request(director)	QESD	inform(director)	SD, HE	negate	SD, HE														
	inform(genre)		request(director)	SD	inform(director)	SD, HE	negate	SD, HE														
	inform(genre)		request(director)	PR	inform(director)	SD, HE	negate	SD, HE														
	inform(director)	SD	ack	NONE																		
	inform(director)	SD	ack	SD																		
	inform(director)	SD	ack	PR																		
request(director)	negate	SD	ack	NONE																		
	inform(director), negate	HE	ack	SD																		
	inform(director)		request(actor)	QESD	inform(actor)	SD, HE	negate	SD, HE														
	inform(director)		request(actor)	SD	inform(actor)	SD, HE	negate	SD, HE														
	inform(director)		request(actor)	PR	inform(actor)	SD, HE	negate	SD, HE														
	inform(actor)	SD	ack	NONE																		
	inform(actor)	SD	ack	SD																		
	inform(actor)	SD	ack	PR																		
	inform(actor)	SD	ack	VSN																		
request(actor)	negate	SD	ack	NONE																		
request(actor)	inform(director), negate	HE	ack	SD																		
request(actor)	negate	SD	ack	VSN																		
	inform(actor)		inform(movie)	QESD	affirm	NONE, HE, PR, SD	negate	NONE, HE, SD	request(movie_info)	NONE, HE	request(genre)	NONE	request(actor)	NONE	request(another_one)	NONE, HE	inform(genre)	NONE, HE	inform(actor)	NONE, HE	inform(director)	NONE, HE
	inform(actor)		inform(movie)	SD	affirm	NONE, HE, PR, SD	negate	NONE, HE, SD	request(movie_info)	NONE, HE	request(genre)	NONE	request(actor)	NONE	request(another_one)	NONE, HE	inform(genre)	NONE, HE	inform(actor)	NONE, HE	inform(director)	NONE, HE
	inform(actor)		inform(movie)	PR	affirm	NONE, HE, PR, SD	negate	NONE, HE, SD	request(movie_info)	NONE, HE	request(genre)	NONE	request(actor)	NONE	request(another_one)	NONE, HE	inform(genre)	NONE, HE	inform(actor)	NONE, HE	inform(director)	NONE, HE
	inform(actor)		inform(movie)	VSN	affirm	NONE, HE, PR, SD	negate	NONE, HE, SD	request(movie_info)	NONE, HE	request(genre)	NONE	request(actor)	NONE	request(another_one)	NONE, HE	inform(genre)	NONE, HE	inform(actor)	NONE, HE	inform(director)	NONE, HE
inform(movie)	affirm	NONE, PR, SD	ack	NONE																		
inform(movie)	affirm	NONE, PR, SD	ack	PR																		
inform(movie)	affirm	NONE, PR, SD	ack	VSN																		
inform(movie)	affirm	NONE, PR, SD	ack	SD																		
inform(movie)	affirm, negate	HE	ack	NONE																		
inform(movie)	negate	NONE	request(why_not_like)	SD	inform(why_not_like)	SD																
inform(movie)	negate	NONE	request(why_not_like)	QESD	inform(why_not_like)	SD																
inform(movie)	negate	NONE	request(why_not_like)	HE	inform(why_not_like)	SD																
inform(movie)	negate	NONE	request(why_not_like)	NONE	inform(why_not_like)	SD																
inform(movie)	affirm, negate		request(another_one)	NONE	affirm	NONE	negate	NONE														
inform(movie)	affirm, negate		request(another_one)	QESD	affirm	NONE	negate	NONE														
inform(movie)	affirm, negate		request(another_one)	PR	affirm	NONE	negate	NONE														
inform(movie)	affirm, negate		request(another_one)	SD	affirm	NONE	negate	NONE														
inform(movie)	affirm, negate		request(another_one)	HE	affirm	NONE	negate	NONE														
inform(movie)	affirm, negate		request(another_one)	VSN	affirm	NONE	negate	NONE														
	request(movie_info)		inform(movie_info)	NONE	affirm	NONE	negate	NONE														
	request(genre)		inform(genre)	NONE	affirm	NONE	negate	NONE														
	request(actor)		inform(actor)	NONE	affirm	NONE	negate	NONE														
request(another_one)	affirm		ack	NONE																		
request(another_one)	affirm		ack	SD																		
request(another_one)	affirm		ack	PR																		
request(another_one)	affirm		ack	VSN																		
request(another_one)	negate		request(feedback)	NONE	inform(feedback)	NONE, PR, HE																
	inform(feedback)		bye	NONE	bye	NONE																
